Freight	Date	Original	Balance	Notes 													
3937616410	9/7/2017	$280.23 	$280.23 		3937616410	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	280.23 				4305262183	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	227.53 
4355670944	9/7/2017	$280.23 	$280.23 		4355670944	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	280.23 				4245075531	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	227.53 
4251327872	9/7/2017	$291.06 	$291.06 		4251327872	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	291.06 				4294556232	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	232.03 
3937616642	9/7/2017	$332.22 	$332.22 		3937616642	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	332.22 				4295916542	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	242.16 
4251327824	9/7/2017	$332.68 	$332.68 		4251327824	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	332.68 				3937616631	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	263.97 
4355671062	9/7/2017	$376.35 	$376.35 		4355671062	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	376.35 				4355671110	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	267.84 
4251327813	9/7/2017	$415.30 	$415.30 		4251327813	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	415.30 				4273619571	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	274.98 
4355670966	9/7/2017	$435.87 	$435.87 		4355670966	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	435.87 								
4354565051	9/7/2017	$462.14 	$462.14 		4354565051	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	462.14 				3937616384	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	280.23 
3937616336	9/7/2017	$490.21 	$490.21 		3937616336	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	490.21 				3937616395	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	280.23 
4355671040	9/7/2017	$495.34 	$495.34 		4355671040	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	495.34 				4355670992	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	280.23 
4273619593	9/7/2017	$495.42 	$495.42 		4273619593	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	495.42 				3937616410	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	280.23 
4355671073	9/7/2017	$517.05 	$517.05 		4355671073	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	517.05 				4355670944	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	280.23 
4273619560	9/7/2017	"$1,163.69 "	"$1,163.69 "		4273619560	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	"1,163.69 "				4355671235	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	280.23 
3937616620	9/8/2017	$220.67 	$220.67 		3937616620	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	220.67 				3937616476	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	280.65 
4294556232	9/8/2017	$232.03 	$232.03 		4294556232	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	232.03 				4354564955	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	283.62 
4251327743	9/8/2017	$332.68 	$332.68 		4251327743	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	332.68 				4354564966	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	286.69 
3937616362	9/8/2017	$454.44 	$454.44 		3937616362	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	454.44 				4251327872	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	291.06 
4355671051	9/8/2017	$551.26 	$551.26 		4355671051	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	551.26 				3937616421	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	311.64 
4273619604	9/8/2017	$562.00 	$562.00 		4273619604	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	562.00 				3538939972	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	313.75 
4251327802	9/8/2017	$706.19 	$706.19 		4251327802	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	706.19 				3937616373	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	314.35 
4245054855	9/9/2017	$257.21 	$257.21 										3937616642	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	332.22 
4294556221	9/9/2017	$284.48 	$284.48 										4251327824	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	332.68 
4251327920	9/9/2017	$334.00 	$334.00 										4251327743	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	332.68 
4294556265	9/9/2017	$334.00 	$334.00 										4273619582	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	351.44 
4251327835	9/9/2017	$431.98 	$431.98 										4295916564	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	355.43 
4273619615	9/9/2017	"$1,280.89 "	"$1,280.89 "										4295916590	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	375.77 
4273619534	9/11/2017	$241.58 	$241.58 										4355671062	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	376.35 
3962879760	9/12/2017	$196.71 	$196.71 										3937616340	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	397.09 
4251328093	9/12/2017	$202.03 	$202.03 										4295916472	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	410.35 
4273619464	9/12/2017	$204.52 	$204.52 										3422987396	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	412.78 
4251327706	9/12/2017	$211.54 	$211.54 										4251327813	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	415.30 
4273619626	9/12/2017	$222.53 	$222.53 										4355670966	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	435.87 
4294556243	9/12/2017	$236.33 	$236.33 										4295916553	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	440.87 
4294556206	9/12/2017	$285.85 	$285.85 										3937616362	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	454.44 
4294556254	9/12/2017	$340.87 	$340.87 										4354565051	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	462.14 
4294556291	9/12/2017	$342.42 	$342.42 										4355670970	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	467.28 
4294556276	9/12/2017	$374.66 	$374.66 										3937616336	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	490.21 
4273619475	9/12/2017	$464.58 	$464.58 										4355671040	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	495.34 
4273619453	9/12/2017	$474.51 	$474.51 										4273619593	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	495.42 
4273619641	9/13/2017	$222.53 	$222.53 										4355671073	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	517.05 
4294556560	9/13/2017	$339.50 	$339.50 										4355671143	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	529.31 
4294556582	9/13/2017	$392.73 	$392.73 										4355671084	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	536.59 
4294556604	9/13/2017	$518.76 	$518.76 										4355671051	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	551.26 
4294556615	9/13/2017	$641.47 	$641.47 										4273619604	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	562.00 
4294556545	9/13/2017	$671.73 	$671.73 										3937616465	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	652.07 
4294556512	9/13/2017	$755.91 	$755.91 										4251327802	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	706.19 
4294556210	9/13/2017	"$1,891.67 "	"$1,891.67 "										3258545216	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	847.40 
													4273619512	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	878.89 
													4273619560	2010 Vendor Account Payables : Accounts Payable	Pending Approval	Shipment	"1,163.69 "
